App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Used Cars and Trucks for Sale,AUTO_AND_VEHICLES,4.6,17057,0,"1,000,000",Free,0,Everyone,Auto & Vehicles,30-Jul-18,0,0
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35,"100,000",Free,0,Everyone,Auto & Vehicles,26-Jul-18,3,4.1
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33,"100,000",Free,0,Everyone,Auto & Vehicles,31-Jul-18,4,4.1
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33,"100,000",Free,0,Everyone,Auto & Vehicles,18-Jul-18,1.7.1,4
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,"50,000",Free,0,Everyone,Auto & Vehicles,29-Jul-18,2.5.1,4.4
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54,"100,000",Free,0,Everyone,Auto & Vehicles,26-Jul-18,3,4.1
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,"100,000",Free,0,Everyone,Auto & Vehicles,30-Jul-18,2.493,4.4
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,"10,000",Free,0,Everyone,Auto & Vehicles,8-Jul-18,1.9.1,4.0.3 
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17,"100,000",Free,0,Everyone,Auto & Vehicles,3-Jul-18,1.7,4.2
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,"1,000,000",Free,0,Everyone,Auto & Vehicles,28-Jul-18,2.20 Build 02,4.1
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,"100,000",Free,0,Everyone,Auto & Vehicles,12-Jun-18,1.37,4
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27,"100,000",Free,0,Everyone,Auto & Vehicles,3-Jul-18,1.7,4.2
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,"10,000",Free,0,Everyone,Auto & Vehicles,30-Jul-18,0.2.1,4.4
Used Cars Mexico,AUTO_AND_VEHICLES,4,190,2.5,"50,000",Free,0,Everyone,Auto & Vehicles,14-Oct-16,1,2.3
Ulysse Speedometer,AUTO_AND_VEHICLES,4.3,40211,0,"5,000,000",Free,0,Everyone,Auto & Vehicles,30-Jul-18,0,0
REPUVE,AUTO_AND_VEHICLES,3.9,356,0,"100,000",Free,0,Everyone,Auto & Vehicles,25-May-18,0,0
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7,"5,000,000",Free,0,Everyone,Auto & Vehicles,16-Jul-18,4.47.3,4.0.3 
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35,"5,000,000",Free,0,Everyone,Auto & Vehicles,2-Aug-18,1.9.7,4.0.3 
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16,"500,000",Free,0,Everyone,Auto & Vehicles,2-Aug-18,2.2.21,4.2
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16,"10,000,000",Free,0,Teen,Auto & Vehicles,11-Jul-18,0,5
PDD-UA,AUTO_AND_VEHICLES,4.8,736,0,"100,000",Free,0,Everyone,Auto & Vehicles,29-Jul-18,2.9,2.3.3 
